index
373
1715
1496
1970
204
297
1559
859
1762
1994
0
563
891
417
509
1548
1400
1921
360
393
1940
1758
1984
227
680
130
72
1119
135
1988
1453
1144
1148
1476
1833
903
1722
1014
823
1978
1973
615
744
981
1264
355
734
1484
819
1392
1709
2022
79
299
8
1179
1573
812
1340
359
1128
580
741
1152
1169
219
1510
1743
420
721
1618
458
1168
60
1207
1680
671
127
164
1162
2024
675
943
156
86
1615
1839
587
1927
100
562
1494
704
1180
912
1785
1177
1354
2043
175
1243
1541
752
87
1830
1129
1734
765
474
1752
364
136
712
723
1695
223
573
1856
1707
448
535
1439
1564
1642
682
1000
486
1046
1279
334
488
655
917
1402
1096
267
1616
1725
1848
1655
600
1992
1884
802
1728
666
1102
1341
321
2020
1900
1903
756
935
391
1824
1795
311
1483
453
1480
207
1165
1710
1415
1649
1798
746
499
505
1888
566
1182
238
1637
667
109
312
1414
957
134
958
231
529
631
583
875
1776
1606
696
644
653
1782
1245
921
427
1653
1173
1525
216
1887
1390
76
1209
1879
77
1587
337
445
596
293
1322
601
1289
96
1247
1477
81
890
1393
1885
146
1679
1600
1659
985
1883
1952
1529
1167
694
117
1720
662
400
248
166
1054
66
974
1278
1736
607
670
1862
679
487
702
1292
896
30
885
1435
1801
1861
965
57
501
520
1913
212
296
584
376
769
1275
149
496
44
236
1535
25
237
1803
1206
295
1231
1917
1103
1981
688
201
946
1204
523
1123
795
830
83
1925
588
949
1198
121
508
526
1568
928
387
1364
1088
933
828
570
633
82
1924
1040
1628
1310
1330
990
775
482
1638
1044
367
470
410
1136
1383
1556
7
1146
2011
1201
303
497
1095
1532
627
1052
1172
992
1907
1967
1357
993
2012
452
1454
479
33
1919
1248
1466
1892
1876
1783
1149
2040
555
646
1931
793
806
1320
1430
1942
1579
1316
1553
925
951
1338
1265
1950
781
271
153
1890
222
1834
1058
618
345
855
1572
3
1976
1501
1452
1438
1423
196
214
2042
357
358
1323
1764
22
1632
556
180
31
629
1097
148
968
1565
512
1589
543
287
1625
593
1800
1844
991
208
1436
518
1153
661
789
408
1889
78
423
792
510
94
1605
464
68
1132
1784
462
1944
1091
380
195
1426
187
272
800
1050
229
1127
55
142
862
1987
1032
1137
626
1542
962
473
183
608
742
1666
1805
1334
787
438
656
1124
950
159
352
1092
264
414
634
977
630
554
1906
1610
234
273
2014
1155
820
672
758
1517
960
268
964
1590
1251
461
292
282
270
1115
1675
1100
1425
798
1963
1866
356
801
1489
1593
441
192
574
1826
638
199
718
1420
1401
1157
687
255
1444
1644
1703
1134
1084
1817
1111
1374
1943
728
1030
54
503
1158
1101
1793
27
443
544
439
392
1358
194
817
852
1406
938
729
918
43
1867
1665
49
983
476
1693
1011
1113
1719
545
1671
447
815
351
1224
2028
1024
249
831
459
1651
1126
308
794
1036
1015
1486
821
1836
678
536
349
1985
1698
1534
1328
1576
